TimeF,posterior,prior,likelihood,rule
1D,-21.496174865301562,-23.893641515585912,2.3974666502843487,"""lambda x: tuple_(l_(get_(x, i, ""ADX""), 22), ge_(get_(x, i, ""ADX""), 27), 1, 3.5)"""
1D,-21.49546412933629,-23.893641515585912,2.398177386249622,"""lambda x: tuple_(ge_(get_(x, i, ""ADX""), 53), ge_(get_(x, i, ""RSI-based MA""), 64), 1, 1.5)"""
1D,-21.491136054352683,-23.893641515585912,2.402505461233228,"""lambda x: tuple_(ge_(get_(x, i, ""ADX""), 45), g_(get_(x, i, ""RSI-based MA""), 42), 1, 5.5)"""
1D,-21.474964778105132,-23.893641515585912,2.418676737480782,"""lambda x: tuple_(g_(get_(x, i, ""ADX""), 48), ge_(get_(x, i, ""RSI-based MA""), 66), 1, 0.0)"""
1D,-21.468508153784168,-23.893641515585912,2.4251333618017448,"""lambda x: tuple_(le_(get_(x, i, ""ADX""), 27), g_(get_(x, i, ""ADX""), 26), 1, 4.0)"""
1D,-21.448909242276162,-23.893641515585912,2.444732273309751,"""lambda x: tuple_(g_(get_(x, i, ""ADX""), 49), g_(get_(x, i, ""RSI""), 80), 1, 0.0)"""
1D,-21.448909242276162,-23.893641515585912,2.444732273309751,"""lambda x: tuple_(ge_(get_(x, i, ""ADX""), 49), g_(get_(x, i, ""RSI""), 78), 1, 0.0)"""
1D,-21.41215908546119,-23.893641515585912,2.4814824301247196,"""lambda x: tuple_(ge_(get_(x, i, ""ADX""), 53), g_(get_(x, i, ""RSI-based MA""), 70), 1, 1.0)"""
1D,-21.410069770485364,-23.893641515585912,2.4835717451005497,"""lambda x: tuple_(g_(get_(x, i, ""ADX""), 45), ge_(get_(x, i, ""RSI-based MA""), 63), 1, 2.5)"""
1D,-21.40234155853273,-23.893641515585912,2.491299957053184,"""lambda x: tuple_(g_(get_(x, i, ""ADX""), 52), g_(get_(x, i, ""RSI-based MA""), 70), 1, 0.0)"""
